"","X","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link","multimedia"
"1563",2,"A Most Violent Year","R",1,"A. O. SCOTT","Heating Oil Mixed With Trouble","A family, its heating-oil business and New York are at the center of J. C. Chandor&#8217;s &#8220;A Most Violent Year.&#8221;","2014-12-30","2015-01-30","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2014/12/31/movies/a-most-violent-year-with-oscar-isaac-and-jessica-chastain.html', 'suggested_link_text': 'Read the New York Times Review of A Most Violent Year'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2014/12/31/arts/JPMOST/JPMOST-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1564",3,"Valley of Saints","",1,"STEPHEN HOLDEN","Seeking Solace Elsewhere, Before Encountering It at Home","&#8220;Valley of Saints&#8221; tells the story of two men whose plans are disrupted by a military curfew and whose friendship is threatened by a shared love interest.","2015-01-08","2015-01-09","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/09/movies/valley-of-saints-directed-by-musa-syeed.html', 'suggested_link_text': 'Read the New York Times Review of Valley of Saints'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/09/arts/09VALLEY1/VALLEY1-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1565",4,"Something, Anything","",1,"JEANNETTE CATSOULIS","Finding Her Way Back in Small, Slow Steps","In &#8220;Something, Anything,&#8221; a young newlywed disrupts her closest relationships as she tries to put her life back together after a traumatic loss.","2015-01-08","2015-01-09","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/09/movies/something-anything-stars-ashley-shelton.html', 'suggested_link_text': 'Read the New York Times Review of Something, Anything'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/09/arts/09SOMETHINGANY/SOMETHINGANYTHING-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1566",5,"La última película","",1,"ANDY WEBSTER","Tripping Over the Hazy Line Between Fiction and Reality ","Raya Martin and Mark Peranson&#8217;s &#8220;La &#218;ltima Pel&#237;cula&#8221; is a goofy, dazzling riff on Dennis Hopper&#8217;s ambitious if flawed picture, &#8220;The Last Movie.&#8221;","2015-01-08","","2017-11-02 04:16:38","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/09/movies/la-ltima-pelcula-riffs-on-a-dennis-hopper-film.html', 'suggested_link_text': 'Read the New York Times Review of La última película'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/09/arts/09ULTIMA/ULTIMA-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1567",6,"De Ofrivilliga","",1,"BEN KENIGSBERG","Ruben Ostlund’s ‘Involuntary,’ ‘Play’ and ‘The Guitar Mongoloid’","The Film Society of Lincoln Center is holding a retrospective of Ruben Ostlund’s movies through Jan. 22.","2015-01-13","","2017-11-02 04:16:30","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/14/movies/ruben-ostlunds-involuntary-play-and-the-guitar-mongoloid.html', 'suggested_link_text': 'Read the New York Times Review of De Ofrivilliga'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/14/arts/ostlund/ostlund-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1568",7,"Blackhat","R",1,"MANOHLA DARGIS","Unshackled Hacker Dons a White Hat","In Michael Mann&#8217;s &#8220;Blackhat,&#8221; a hacker is provisionally released from prison to combat a cybercriminal who has sabotaged a nuclear plant and manipulated a financial market.","2015-01-15","2015-01-16","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/16/movies/blackhat-a-cyberthriller-starring-chris-hemsworth.html', 'suggested_link_text': 'Read the New York Times Review of Blackhat'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/16/multimedia/movies-blackhat-011615/movies-blackhat-011615-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1569",8,"Medeas","",1,"JEANNETTE CATSOULIS","A Family of Few Words in a Slow-Burn Disaster","In &#8220;Medeas,&#8221; Andrea Pallaoro depicts a troubled farm family on the verge of imploding.","2015-01-15","","2017-11-02 04:16:39","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/16/movies/andrea-pallaoros-medeas-about-an-unraveling-family.html', 'suggested_link_text': 'Read the New York Times Review of Medeas'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/16/arts/16MEDEAS/16MEDEAS-mediumThreeByTwo210-v4.jpg', 'width': 210, 'height': 140}"
"1570",9,"Mommy","R",1,"A. O. SCOTT","Parent and Child as Two Volcanoes Under One Roof","In Xavier Dolan&#8217;s &#8220;Mommy,&#8221; a mother and her troubled son confront each other when he returns home after a stint in group living.","2015-01-22","","2017-11-02 04:16:42","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/23/movies/xavier-dolans-mommy-depicts-a-clashing-mother-and-son.html', 'suggested_link_text': 'Read the New York Times Review of Mommy'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/23/arts/23MOMMY/23MOMMY-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1571",10,"Timbuktu","PG-13",1,"A. O. SCOTT","A Fury Arrives. Hypocrisy, Too. ","An unflinching exploration of jihadists is the focus of Abderrahmane Sissako&#8217;s film &#8220;Timbuktu.&#8221;","2015-01-27","","2017-11-02 04:16:42","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/28/movies/timbuktu-an-abderrahmane-sissako-film-about-radical-islam.html', 'suggested_link_text': 'Read the New York Times Review of Timbuktu'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/28/arts/TIMBUKTU/TIMBUKTU-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1572",11,"Girlhood","Not Rated",1,"A. O. SCOTT","Exploring the Limits in a Man’s World","In &#8220;Girlhood,&#8221; C&#233;line Sciamma revels in the risky, reckless exuberance of adolescence and in the sheer joy of filming it.","2015-01-29","","2017-11-02 04:16:42","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/30/movies/in-girlhood-a-french-adolescent-comes-out-of-her-shell.html', 'suggested_link_text': 'Read the New York Times Review of Girlhood'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/30/arts/30GIRLHOOD/GIRLHOOD-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1573",12,"Hard to Be a God","Not Rated",1,"NICOLAS RAPOLD","A Medieval Time on a Planet Far Away","&#8220;Hard to Be a God,&#8221; the last movie by the Russian filmmaker Aleksei German, is set on another planet still in the throes of the Middle Ages.","2015-01-29","","2017-11-02 04:16:39","{'type': 'article', 'url': 'http://www.nytimes.com/2015/01/30/movies/hard-to-be-a-god-aleksei-germans-last-film.html', 'suggested_link_text': 'Read the New York Times Review of Hard to Be a God'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/01/30/arts/30HARD1/HARD1-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1574",13,"What We Do in the Shadows","R",1,"JEANNETTE CATSOULIS","Review: ‘What We Do in the Shadows,’ a Vampire Comedy","The film, directed by Jemaine Clement and Taika Waititi, is set in New Zealand and follows four ghouls who have problems adapting to the modern world.","2015-02-12","2015-02-13","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/13/movies/review-what-we-do-in-the-shadows-a-vampire-comedy.html', 'suggested_link_text': 'Read the New York Times Review of What We Do in the Shadows'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/13/arts/13SHADOWS/13SHADOWS-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1575",14,"Gett le procès de Viviane Amsalem","",1,"MANOHLA DARGIS","Review: In ‘Gett: The Trial of Viviane Amsalem,’ a Woman Fights for Her Freedom","Ronit Elkabetz plays a woman who is determined to escape her marriage, although the rabbinic power structure is stacked against her.","2015-02-12","","2017-11-02 04:16:41","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/13/movies/review-in-gett-the-trial-of-viviane-amsalem-a-woman-fights-for-her-freedom.html', 'suggested_link_text': 'Read the New York Times Review of Gett le procès de Viviane Amsalem'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/13/arts/13GETT/13GETT-mediumThreeByTwo210-v2.jpg', 'width': 210, 'height': 140}"
"1576",15,"Queen and Country","",1,"A. O. SCOTT","Review: With ‘Queen and Country,’ John Boorman Continues a Tale","Mr. Boorman&#8217;s new film picks up where &#8220;Hope and Glory&#8221; left off, with a young Briton as he comes into adulthood during the Korean War.","2015-02-17","","2017-11-02 04:16:39","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/18/movies/review-with-queen-and-country-john-boorman-continues-a-tale.html', 'suggested_link_text': 'Read the New York Times Review of Queen and Country'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/18/arts/18QUEENSUB/18QUEENSUB-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1577",16,"Praia do Futuro","Not Rated",1,"JEANNETTE CATSOULIS","Review: In ‘Futuro Beach,’ a Haunted Lifeguard Searches for Peace","This elliptical gay romance by the Brazilian writer and director Karim A&#239;nouz follows its heroes from the warmly golden beach of the title to the cool dampness of Berlin.","2015-02-26","2015-02-27","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/27/movies/review-in-futuro-beach-a-haunted-lifeguard-searches-for-peace.html', 'suggested_link_text': 'Read the New York Times Review of Praia do Futuro'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/27/arts/27FUTURO/27FUTURO-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1578",17,"Eastern Boys","Not Rated",1,"STEPHEN HOLDEN","Review: In ‘Eastern Boys,’ a Train-Station Pickup Gone Wrong","Robin Campillo&#8217;s film stars Olivier Rabourdin as a French businessman and Kirill Emelyanov as the young man who turns an assignation into a home invasion.","2015-02-26","","2017-11-02 04:16:41","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/27/movies/review-in-eastern-boys-a-train-station-pickup-gone-wrong.html', 'suggested_link_text': 'Read the New York Times Review of Eastern Boys'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/27/arts/27EASTER/27EASTER-mediumThreeByTwo210-v2.jpg', 'width': 210, 'height': 140}"
"1579",18,"Bluebird","",1,"STEPHEN HOLDEN","Review: In ‘Bluebird,’ Momentary Distraction Sets Off a Chain of Misery","In this film set in a Maine logging town, a school-bus driver deals with the repercussions of a tragic mistake.","2015-02-26","2015-02-27","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/27/movies/review-in-bluebird-momentary-distraction-sets-off-a-chain-of-misery.html', 'suggested_link_text': 'Read the New York Times Review of Bluebird'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/27/arts/27BLUEBIRD/27BLUEBIRD-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1580",19,"'71","R",1,"MANOHLA DARGIS","Review: In ‘ ’71,’ Young, Green and Behind Enemy Lines","In Belfast, 1971 was an eventful year of demands and bloodshed, and it was not always clear who was the enemy.","2015-02-26","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/02/27/movies/review-in-71-young-green-and-behind-enemy-lines.html', 'suggested_link_text': ""Read the New York Times Review of '71""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/27/arts/27SEVENTYJP/27SEVENTYJP-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1581",0,"Faults","",1,"ANDY WEBSTER","Review: In ‘Faults,’ Mind Games Don’t End Beyond the Cult","This twisty, winningly unsettling feature debut of the director Riley Stearns adds a sometimes darkly comic strain to cult-centric movies.","2015-03-05","2015-03-06","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/06/movies/review-in-faults-mind-games-dont-end-beyond-the-cult.html', 'suggested_link_text': 'Read the New York Times Review of Faults'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/06/arts/06FAULTS/06FAULTS-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1582",1,"Buzzard","",1,"STEPHEN HOLDEN","Review: In ‘Buzzard,’ an Angry, Unkempt Antihero","An unsparing portrait of an office temp and scam artist near the bottom of the economic food chain.","2015-03-05","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/06/movies/review-in-buzzard-an-angry-unkempt-antihero.html', 'suggested_link_text': 'Read the New York Times Review of Buzzard'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/06/arts/06BUZZARDSUB/06BUZZARDSUB-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1583",2,"An Honest Liar","",1,"JEANNETTE CATSOULIS","Review: ‘An Honest Liar,’ a Documentary About the Debunker James Randi","This film focuses on the Amazing Randi, a magician on a crusade to expose fakery.","2015-03-05","","2017-11-02 04:16:38","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/06/movies/review-an-honest-liar-a-documentary-about-the-debunker-james-randi.html', 'suggested_link_text': 'Read the New York Times Review of An Honest Liar'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/06/arts/06HONEST/06HONEST-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1584",3,"Seymour: An Introduction","PG",1,"MANOHLA DARGIS","Review: ‘Seymour: An Introduction’ Is a Lesson in Perseverance","This film directed by Ethan Hawke is a big-hearted documentary of a pianist, composer, teacher, philosopher and ultimate New Yorker.","2015-03-12","","2017-11-02 04:16:38","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/13/movies/review-seymour-an-introduction-is-a-lesson-in-perseverance.html', 'suggested_link_text': 'Read the New York Times Review of Seymour: An Introduction'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/13/arts/0313SEYMOUR/0313SEYMOUR-mediumThreeByTwo210-v3.jpg', 'width': 210, 'height': 140}"
"1585",4,"Like Sunday, Like Rain","R",1,"NEIL GENZLINGER","Review: ‘Like Sunday, Like Rain,’ a Sentimental Intersection of Two Lives","In Frank Whaley&#8217;s film, a young New Yorker (Leighton Meester) ends up as an unlikely companion to a 13-year-old prodigy.","2015-03-12","","2017-11-02 04:16:41","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/13/movies/review-like-sunday-like-rain-a-sentimental-intersection-of-two-lives.html', 'suggested_link_text': 'Read the New York Times Review of Like Sunday, Like Rain'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/03/movies/video-like-sunday-like-rain/video-like-sunday-like-rain-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1586",5,"It Follows","R",1,"STEPHEN HOLDEN","Review: In ‘It Follows,’ a Shape-Shifting Horror Stalks a Teenager","David Robert Mitchell&#8217;s second feature film is set in a Detroit suburb, where a deadly menace is passed from one person to another through sex.","2015-03-12","2015-03-27","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/13/movies/review-in-it-follows-a-shape-shifting-horror-stalks-a-teenager.html', 'suggested_link_text': 'Read the New York Times Review of It Follows'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/13/arts/13ITFOLLOWS/ITFOLLOWS-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1587",6,"Eva","PG-13",1,"NEIL GENZLINGER","Review: In ‘Eva,’ Robot Designer Loves Cute Kid","In Kike Ma&#237;llo&#8217;s Spanish drama, a prodigy returns to his hometown to work on programming an android with the emotional life of a real child.","2015-03-12","2015-03-13","2017-11-02 04:18:20","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/13/movies/review-in-eva-robot-designer-loves-cute-kid.html', 'suggested_link_text': 'Read the New York Times Review of Eva'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/13/arts/13EVA/0313EVA-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1588",7,"Kumiko, the Treasure Hunter","",1,"NEIL GENZLINGER","Review: ‘Kumiko, the Treasure Hunter,’ Inspired by an Urban Legend","A Japanese woman gets the disastrously incorrect idea that the Coen brothers’ movie “Fargo” depicts a true story in this movie by two other siblings, David and Nathan Zellner.","2015-03-17","","2017-11-02 04:16:41","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/18/movies/review-kumiko-the-treasure-hunter-inspired-by-an-urban-legend.html', 'suggested_link_text': 'Read the New York Times Review of Kumiko, the Treasure Hunter'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/18/arts/18KUMIKO/18KUMIKO-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1589",8,"Please Be Normal","",1,"JEANNETTE CATSOULIS","Review: ‘Please Be Normal,’ a Couple’s Dawning Desperation","Sam Waterston, his daughter Elisabeth Waterston and her husband, Louis Cancelmi, star in Haik Kocharian&#8217;s drama about imminent parenthood, a move to the suburbs, detachment and control.","2015-03-19","","2017-11-02 04:16:39","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/20/movies/review-please-be-normal-a-couples-dawning-desperation.html', 'suggested_link_text': 'Read the New York Times Review of Please Be Normal'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/20/arts/20PLEASE/20PLEASE-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1590",9,"Jauja","Not Rated",1,"A. O. SCOTT","Review: ‘Jauja,’ a Desperate Odyssey in the Argentine Desert","In Lisandro Alonso&#8217;s film, a Danish engineer travels to the Argentine frontier with his daughter, then sets off in search of her after she runs away with a soldier.","2015-03-19","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/20/movies/review-jauja-a-desperate-odyssey-in-the-argentine-desert.html', 'suggested_link_text': 'Read the New York Times Review of Jauja'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/20/arts/20JAUJA1/20JAUJA1-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1591",10,"White God","R",1,"MANOHLA DARGIS","Review: In ‘White God,’ Man Bites Dog, Dog Bites Back","Kornel Mundruczo&#8217;s movie follows a mixed-breed dog in Hungary named Hagen who is separated from his 13-year-old human owner and joins a pack.","2015-03-26","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/27/movies/review-in-white-god-man-bites-dog-dog-bites-back.html', 'suggested_link_text': 'Read the New York Times Review of White God'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/27/arts/27WHITEDOG1/27WHITEDOG1-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1592",11,"While We're Young","R",1,"A. O. SCOTT","Review: In ‘While We’re Young,’ a Coupling of Gen X and Y","In Noah Baumbach&#8217;s film, Ben Stiller and Naomi Watts play a couple in their 40s who become captivated by a younger pair who seem to freely embrace experience.","2015-03-26","2015-04-17","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/27/movies/review-in-while-were-young-a-coupling-of-gen-x-and-y.html', 'suggested_link_text': ""Read the New York Times Review of While We're Young""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/27/arts/27WHILE/27WHILE-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1593",12,"The Riot Club","R",1,"STEPHEN HOLDEN","Review: In ‘The Riot Club,’ an Elite British Dining Club Excels in Debauchery","A poisonous satire based on a dining club at Oxford University focuses on a group of rich students who carry snobbery and class hatred to savage extremes.","2015-03-26","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/27/movies/review-in-the-riot-club-an-elite-british-dining-club-excels-in-debauchery.html', 'suggested_link_text': 'Read the New York Times Review of The Riot Club'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/27/arts/27RIOTCLUB/27RIOTCLUB-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1594",13,"Cupcakes","",1,"ANDY WEBSTER","Review: In ‘Cupcakes,’ an Impromptu Cellphone Video Is Noticed","Eytan Fox&#8217;s dramedy sends six more or less ordinary Israelis to a Paris song competition.","2015-03-26","2015-03-27","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/27/movies/review-in-cupcakes-an-impromptu-cellphone-video-is-noticed.html', 'suggested_link_text': 'Read the New York Times Review of Cupcakes'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/02/24/movies/video-cupcakes-us/video-cupcakes-us-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1595",14,"52 Tuesdays","",1,"JEANNETTE CATSOULIS","Review: In ‘52 Tuesdays,’ What a Difference a Year Makes","Sophie Hyde&#8217;s film uses unconventional methods to tell the story of a mother&#8217;s gender transition.","2015-03-26","","2017-11-02 04:16:41","{'type': 'article', 'url': 'http://www.nytimes.com/2015/03/27/movies/review-in-52-tuesdays-what-a-difference-a-year-makes.html', 'suggested_link_text': 'Read the New York Times Review of 52 Tuesdays'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/03/27/arts/27FIFTYTWO/27FIFTYTWO-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1596",15,"Darbareye Elly","",1,"STEPHEN HOLDEN","Review: In ‘About Elly,’ a Middle Class Enjoying Itself Is Engulfed in Change","Asghar Farhadi&#8217;s story of a young woman who disappears during a weekend outing at a coastal resort depicts the strains between Islamic traditions and modernism within Iran&#8217;s middle class.","2015-04-07","","2017-11-02 04:16:31","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/08/movies/review-in-about-elly-a-middle-class-enjoying-itself-is-engulfed-in-change.html', 'suggested_link_text': 'Read the New York Times Review of Darbareye Elly'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/08/arts/08ABOUTELLY1/08ABOUTELLY1-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1597",16,"Rebels of the Neon God","",1,"A. O. SCOTT","Review: ‘Rebels of the Neon God’ Gets a New York Screening","A retrospective devoted to the director Tsai Ming-liang offers the first real screening of his debut film in the United States.","2015-04-09","","2017-11-02 04:16:11","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/10/movies/review-rebels-of-the-neon-god-gets-a-new-york-screening.html', 'suggested_link_text': 'Read the New York Times Review of Rebels of the Neon God'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/10/arts/10rebelssub/10rebelssub-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1598",17,"The Harvest","Not Rated",1,"JEANNETTE CATSOULIS","Review: In ‘The Harvest,’ Love Is Wielded With a Chill","In this film, an orphaned girl&#8217;s friendship with an ill boy complicates family dynamics.","2015-04-09","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/10/movies/review-in-the-harvest-love-is-wielded-with-a-chill.html', 'suggested_link_text': 'Read the New York Times Review of The Harvest'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/10/arts/10HARVEST/10HARVEST-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1599",18,"Lost River","R",1,"BEN KENIGSBERG","Review: In ‘Lost River,’ by Ryan Gosling, Surreal Scenes of Urban Decline","Bleak Michigan scenery is the backdrop for a form of horror film that ponders people and places left behind in the name of progress.","2015-04-09","2015-04-10","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/10/movies/review-in-lost-river-by-ryan-gosling-surreal-scenes-of-urban-decline.html', 'suggested_link_text': 'Read the New York Times Review of Lost River'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/10/arts/10LOSTRIVER/10LOSTRIVER-mediumThreeByTwo210-v2.jpg', 'width': 210, 'height': 140}"
"1600",19,"Ex Machina","R",1,"MANOHLA DARGIS","Review: In ‘Ex Machina,’ a Mogul Fashions the Droid of His Dreams","In Alex Garland&#8217;s film, an Internet mogul creates a gorgeous robot named Ava, with unsettling consequences.","2015-04-09","2015-04-24","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/10/movies/review-in-ex-machina-a-mogul-fashions-the-droid-of-his-dreams.html', 'suggested_link_text': 'Read the New York Times Review of Ex Machina'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/10/arts/10EXMACHINA/10EXMACHINA-mediumThreeByTwo210-v2.jpg', 'width': 210, 'height': 140}"
"1601",0,"Clouds of Sils Maria","R",1,"MANOHLA DARGIS","Review: In ‘Clouds of Sils Maria,’ a Celebration Turns Into a Memorial","&#8220;Clouds of Sils Maria,&#8221; directed by Olivier Assayas, examines female friendships, female rivalries, tabloid notoriety and the loss of privacy in the Internet age.","2015-04-09","2015-04-10","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/10/movies/review-in-clouds-of-sils-maria-a-celebration-turns-into-a-memorial.html', 'suggested_link_text': 'Read the New York Times Review of Clouds of Sils Maria'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/10/arts/10CLOUDSALT/10CLOUDSALT-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
"1602",1,"Félix et Meira","R",1,"JEANNETTE CATSOULIS","Review: ‘Felix and Meira,’ a Portrait of a Tempted Hasidic Wife","Longing to feel alive, a restless young woman is drawn to someone from a different world in this film directed by Maxime Giroux.","2015-04-16","2015-04-17","2017-11-02 04:18:21","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/17/movies/review-felix-and-meira-a-portrait-of-a-tempted-hasidic-wife.html', 'suggested_link_text': 'Read the New York Times Review of Félix et Meira'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/17/arts/17FELIX/17FELIX-mediumThreeByTwo210-v2.jpg', 'width': 210, 'height': 140}"
"1603",2,"Don't Think I've Forgotten: Cambodia's Lost Rock and Roll","",1,"A. O. SCOTT","Review: In ‘Don’t Think I’ve Forgotten,’ Cambodia’s Lost Generation of Pop Stars","Musicians of a thriving pop music scene in Cambodia that was brutally stamped out by the Khmer Rouge in the 1970s reclaim their place in the global youth culture of their era.","2015-04-21","","2017-11-02 04:16:40","{'type': 'article', 'url': 'http://www.nytimes.com/2015/04/22/movies/review-in-dont-think-ive-forgotten-cambodias-lost-generation-of-pop-stars.html', 'suggested_link_text': ""Read the New York Times Review of Don't Think I've Forgotten: Cambodia's Lost Rock and Roll""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2015/04/22/arts/22DONT/22DONT-mediumThreeByTwo210.jpg', 'width': 210, 'height': 140}"
